u_total,v_total,w_total
-0.248080149,-0.0315824524,-0.0195171777
-0.273668915,-0.027215261,-0.0309084654
-0.299982846,-0.0223958902,-0.0442079417
-0.326792419,-0.0173475631,-0.059446454
-0.353925914,-0.0123012438,-0.0766518712
-0.381142616,-0.00750216795,-0.0957675204
-0.408265293,-0.00316917663,-0.116728909
-0.435048699,0.000500489492,-0.139362633
-0.461310357,0.0033661779,-0.163481146
-0.486797392,0.00533810724,-0.188765317
-0.511310697,0.00639660051,-0.214877203
-0.534577489,0.00658297259,-0.241334692
-0.556366444,0.00599856209,-0.267639637
-0.576371133,0.00479145208,-0.293156832
-0.594314218,0.00313764904,-0.317253053
-0.609852314,0.00122632785,-0.33919248
-0.622664273,-0.00076853577,-0.358276635
-0.632383823,-0.00269899098,-0.373769373
-0.638669193,-0.004468475,-0.38502112
-0.64116919,-0.00603423547,-0.391430557
-0.639565587,-0.00741990376,-0.392533988
-0.633579373,-0.00870514475,-0.388006568
-0.622974932,-0.0100231096,-0.377694726
-0.607606411,-0.0115369838,-0.361656219
-0.587377608,-0.0134267043,-0.340119541
-0.562327206,-0.0158574414,-0.313559145
-0.532534957,-0.0189649872,-0.282576799
-0.498244584,-0.022822259,-0.248005062
-0.459740132,-0.0274334084,-0.210746691
-0.417379171,-0.0327181704,-0.171781585
-0.371668071,-0.0384954102,-0.132198751
-0.323059767,-0.0445079356,-0.092980355
-0.272156,-0.0504056029,-0.0551462583
-0.219451025,-0.0557891428,-0.0195224658
-0.165559173,-0.0602048375,0.0131103816
-0.11094223,-0.0631948635,0.042214565
-0.056156721,-0.0643055737,0.0673521757
-0.00157925067,-0.0631295964,0.0883305594
0.0523308255,-0.0593299903,0.105073914
0.105295725,-0.0526595712,0.117710732
0.156950161,-0.0430030338,0.126469061
0.207088456,-0.0303621609,0.131710872
0.255398273,-0.0149160968,0.133857638
0.301688761,0.00303293695,0.133384258
0.345638216,0.0229856241,0.130776837
0.387004465,0.0443388782,0.126502723
0.425399095,0.0663055927,0.12099719
0.460480452,0.0880401433,0.114625312
0.491766214,0.108564049,0.107693113
0.518806458,0.126907229,0.100409731
0.541045368,0.142053843,0.0929185376
0.557966828,0.153075516,0.0852649137
0.569012225,0.159108639,0.0774407685
0.573689222,0.159451634,0.0693588555
0.571547031,0.153579667,0.0609064326
0.562231421,0.141179129,0.0519218221
0.545525074,0.122200727,0.0422538705
0.521345496,0.0968278274,0.0317416377
0.489762813,0.0654792637,0.0202445704
0.451094329,0.0288675614,0.00767898979
0.405765742,-0.0121730603,-0.00602169475
0.354498178,-0.0565520227,-0.0208400879
0.298078805,-0.103170991,-0.0367386378
0.237591043,-0.15076746,-0.0535898842
0.17411527,-0.198198408,-0.0712594464
0.108989984,-0.244268999,-0.0895337909
0.0434668958,-0.288013846,-0.108217061
-0.021014763,-0.328518897,-0.12705633
-0.0831867456,-0.365166754,-0.145844012
-0.141681239,-0.397461712,-0.164339587
-0.195371523,-0.425215364,-0.182369158
-0.243124008,-0.448384404,-0.199742839
-0.284088254,-0.46718809,-0.216344669
-0.317491889,-0.481965214,-0.232047021
-0.342855334,-0.493229955,-0.246785179
-0.359842867,-0.501551986,-0.260474622
-0.368389875,-0.507566154,-0.27306965
-0.368617445,-0.511878848,-0.284486443
-0.360868603,-0.515051961,-0.294652522
-0.345690846,-0.517538249,-0.303439409
-0.32378298,-0.519662261,-0.310706228
-0.296043575,-0.521583438,-0.316250682
-0.263440281,-0.523294687,-0.319844693
-0.227112859,-0.524615228,-0.321213245
-0.188209578,-0.525212646,-0.320060611
-0.147905275,-0.524627805,-0.316070199
-0.10744673,-0.522318661,-0.308937788
-0.0679447055,-0.517703772,-0.298367739
-0.0305324458,-0.510231137,-0.284131587
0.00385777699,-0.499410659,-0.266039193
0.0343473032,-0.484902263,-0.244030222
0.0603037849,-0.466507584,-0.218106806
0.0812180564,-0.444271117,-0.188457727
0.0968466625,-0.418405861,-0.155346066
0.107120506,-0.38939622,-0.119260848
0.112224095,-0.357852191,-0.0807574391
0.112538807,-0.324608326,-0.0406270884
0.108655468,-0.290518045,0.000302322587
0.101348557,-0.256547987,0.0409947634
0.0915303826,-0.223544315,0.0804302767
0.0802476779,-0.192327932,0.117446013
0.0685957596,-0.163473144,0.150965452
0.0577256642,-0.137410313,0.179865852
0.0487436615,-0.114254795,0.203185514
0.0427154899,-0.0939230025,0.220030621
0.0405806154,-0.0760312378,0.229729041
0.0431390069,-0.0600277185,0.23178637
0.0510081984,-0.0451570302,0.225959122
0.0645811707,-0.0306049492,0.212262467
0.0840474963,-0.0154999131,0.190946415
0.109315835,0.000935110264,0.162554532
0.140109554,0.0193851367,0.127800539
0.175853431,0.040296834,0.0876732096
0.215817019,0.0639057904,0.0432565399
0.259099126,0.0901823044,-0.00426666159
0.304573268,0.11876826,-0.0535674058
0.351119369,0.149109036,-0.103428632
0.397453815,0.180350974,-0.152556971
0.442402601,0.211541906,-0.199866369
0.484730959,0.241547093,-0.24427703
0.523406923,0.269272298,-0.284969658
0.55744195,0.293596238,-0.321186274
0.58611387,0.313571572,-0.352433443
0.608830571,0.328370154,-0.378302515
0.625285506,0.337424994,-0.398610264
0.635354519,0.340388566,-0.413257271
0.639169335,0.337189049,-0.422306746
0.637052834,0.328010559,-0.425891519
0.629511654,0.313257933,-0.424238831
0.617212296,0.293567359,-0.417635381
0.600906014,0.269693285,-0.406404376
0.581446409,0.242556706,-0.390927881
0.559667587,0.213082731,-0.371585488
0.536440313,0.182283819,-0.348825514
0.512531996,0.151079133,-0.3230699
0.488690674,0.120408103,-0.294823289
0.465510249,0.091054365,-0.264547437
0.443534553,0.0637768432,-0.232795015
0.423152506,0.0391725264,-0.200077549
0.404649436,0.0177349895,-0.166911349
0.388246387,-0.000110539608,-0.133869305
0.374036252,-0.0140866814,-0.101427317
0.36207974,-0.0239681005,-0.0701097548
0.352352232,-0.0296382122,-0.0403183252
0.344814748,-0.0310303941,-0.0124708507
0.339378506,-0.0281465463,0.0131536741
0.335949719,-0.0210412052,0.0362868533
0.334406048,-0.00980239548,0.0567979068
0.334613264,0.00541701354,0.0745792612
0.336414516,0.0244554467,0.0896396562
0.339624614,0.0470660292,0.102007069
0.344031572,0.0730055496,0.111788802
0.349375755,0.101918846,0.119096711
0.355367303,0.133458227,0.124080241
0.361658454,0.16713661,0.126877308
0.367875487,0.202474639,0.127628982
0.373593986,0.238834336,0.12645866
0.378378451,0.275589466,0.123474292
0.381768763,0.311953366,0.118775792
0.383318961,0.347165406,0.112447284
0.382597893,0.380327761,0.104589581
0.37921527,0.410594463,0.0953013003
0.372841924,0.437033504,0.084729813
0.363207489,0.45879823,0.0730389729
0.350144982,0.475028008,0.0604713447
0.33354944,0.484980822,0.0473001674
0.313447863,0.487983525,0.0338952243
0.289930493,0.48350811,0.0206690356
0.263169378,0.471155226,0.00809864979
0.233466506,0.450714439,-0.00325819245
0.201124668,0.422111332,-0.0128254313
0.166577071,0.385516822,-0.0199684594
0.130215853,0.341212064,-0.0240559783
0.0925441384,0.28976661,-0.0244462099
0.0539842881,0.231822342,-0.0205260739
0.0150464242,0.168337867,-0.0117334248
-0.0238719191,0.100301325,0.00244063209
-0.0623079054,0.029028751,0.0223847236
-0.0999313369,-0.0441790223,0.048415333
-0.136365965,-0.117707968,0.0806586146
-0.17137742,-0.190008357,0.119160272
-0.204698503,-0.259271592,0.16371429
-0.236201987,-0.323816895,0.214040235
-0.265737176,-0.381806403,0.269562393
-0.293281168,-0.431614518,0.329654634
-0.318790078,-0.47161144,0.393378049
-0.342328787,-0.500475645,0.459784418
-0.36393714,-0.517070293,0.527626336
-0.383737773,-0.520652115,0.595703244
-0.401818514,-0.510852039,0.662562191
-0.418319136,-0.487739533,0.726861894
-0.433329642,-0.45189774,0.787087321
-0.446959823,-0.404318869,0.841903031
-0.459252924,-0.346555054,0.889906645
-0.470240325,-0.280444115,0.929938555
-0.479872763,-0.208312303,0.960898995
-0.488060325,-0.132608056,0.981974065
-0.494642347,-0.0558969043,0.992578387
-0.49937737,0.0191144403,0.992399395
-0.501967609,0.0900351927,0.98145318
-0.502043366,0.154557839,0.960105658
-0.499180466,0.210912272,0.92902106
-0.492914677,0.25764963,0.889254451
-0.482741177,0.293979824,0.842073917
-0.468166322,0.319580853,0.789105833
-0.448676586,0.334776759,0.732044876
-0.423835248,0.340380013,0.672830284
-0.393210143,0.337705135,0.613286316
-0.356520027,0.328448266,0.555310071
-0.313507944,0.31457141,0.500492811
-0.264142156,0.298219591,0.450309962
-0.20842573,0.281534672,0.405783087
-0.146652251,0.266607225,0.367665231
-0.0791465938,0.255290627,0.336193353
-0.00657165051,0.249173701,0.311267376
0.0703971982,0.249459475,0.292317897
0.150725216,0.256941617,0.278477728
0.233399808,0.271988779,0.268558979
0.317059219,0.294507742,0.261212468
0.400414109,0.324044228,0.254977942
0.481871486,0.359719545,0.248428285
0.559927583,0.400409222,0.240242064
0.633042514,0.44477585,0.229299769
0.69956398,0.491252601,0.214780569
0.758074224,0.538316905,0.196158886
0.80712086,0.584348261,0.173300594
0.845546722,0.627921164,0.146370113
0.872300208,0.667649686,0.115913875
0.886666358,0.702441633,0.0826827735
0.888168454,0.731346011,0.047713127
0.876667738,0.753739417,0.0120916851
0.852369905,0.769192874,-0.0229576156
0.815774977,0.777574182,-0.056323681
0.767782092,0.77895546,-0.0869133994
0.709491789,0.773624241,-0.113872051
0.642400384,0.76204735,-0.136483267
0.568071544,0.744803548,-0.15432851
0.488404781,0.722604215,-0.167190492
0.405211359,0.696169972,-0.175134882
0.32053256,0.666305661,-0.178428143
0.236171618,0.633743167,-0.177544832
0.154036343,0.599259734,-0.173109129
0.0756748393,0.563504934,-0.165844262
0.00262066186,0.527152598,-0.156542286
-0.0640231818,0.490722448,-0.145981163
-0.123258851,0.454751104,-0.134921893
-0.174529806,0.41961503,-0.124019153
-0.217433706,0.385707885,-0.113842145
-0.251960903,0.353272051,-0.104800053
-0.278262377,0.322566271,-0.0971781537
-0.296778411,0.293728977,-0.0910958871
-0.308117121,0.266845107,-0.086534448
-0.313011169,0.241993695,-0.0833569393
-0.312315017,0.219139576,-0.0813139156
-0.306933224,0.198257625,-0.0800867826
-0.297779977,0.179226175,-0.0793075487
-0.285767138,0.161935002,-0.0785972625
-0.271729499,0.146198034,-0.0775903761
-0.256458551,0.131847233,-0.0759658515
-0.240617111,0.118663073,-0.0734624192
-0.22480078,0.106455557,-0.0699029192
-0.209457085,0.095008418,-0.0651901588
-0.194961146,0.0841491595,-0.0593275353
-0.181545869,0.0737010539,-0.0523922145
-0.169379145,0.0635442957,-0.0445550643
-0.158509463,0.0535702817,-0.0360344462
-0.148935899,0.043735303,-0.027118912
-0.140567318,0.0340136923,-0.0181093998
-0.133281812,0.0244452953,-0.00934527535
-0.126897514,0.0150858006,-0.00114561548
-0.121220313,0.00604874035,0.00616321294
-0.116022788,-0.00254602474,0.0122985058
-0.11108321,-0.0105361305,0.0169958025
-0.106168434,-0.0177668855,0.0200451948
-0.101068079,-0.024062058,0.0212738048
-0.0955774337,-0.0292682648,0.0205634087
-0.0895307213,-0.0332343541,0.0178463459
-0.0827803686,-0.0358448252,0.0131026804
-0.0752328709,-0.0370090678,0.00637352839
-0.0668256655,-0.0366807841,-0.00225645001
-0.0575411022,-0.034853518,-0.0126562053
-0.0474282503,-0.031570971,-0.0246252026
-0.0365632102,-0.0269170459,-0.0379415601
-0.0250977427,-0.0210294556,-0.0523068234
-0.0132045923,-0.0140730692,-0.0674135163
-0.00112948834,-0.00626134267,-0.0828810632
0.0108719282,0.00218552817,-0.0983348489
0.0224819556,0.0110132126,-0.113340378
0.0333868377,0.0199849084,-0.127487585
0.0432291962,0.0288503729,-0.140330419
0.0516699851,0.0374002457,-0.15146777
0.0583499782,0.0454338491,-0.160495013
0.0629392788,0.0528095961,-0.167071119
0.0651138127,0.0594136007,-0.170887724
0.0645838305,0.065200679,-0.171711698
0.0610902198,0.0701653138,-0.169375643
0.0544055998,0.0743705928,-0.163787335
0.0443553254,0.0779225081,-0.154944077
0.0307868086,0.0809870958,-0.14290458
0.0136202388,0.0837675035,-0.127828166
-0.00721682003,0.0865123123,-0.109909311
-0.0317045413,0.0894936025,-0.0894415677
-0.0598311126,0.0930115581,-0.0667196587
-0.0914711356,0.0973691791,-0.0421262495
-0.126497924,0.10287565,-0.0160264764
-0.164737582,0.109831214,0.0112082707
-0.205886438,0.11849957,0.0391568057
-0.249674186,0.129127115,0.0674771219
-0.295663089,0.141886756,0.0957803428
-0.343457669,0.156917855,0.123775423
-0.392482877,0.174250141,0.151139259
-0.442222506,0.193866327,0.177657411
-0.49198693,0.215607956,0.203093931
-0.541167855,0.239263773,0.227322161
-0.589011848,0.26446116,0.250200033
-0.634880245,0.290782988,0.271684676
-0.678034246,0.317651212,0.291715771
-0.717884839,0.344467521,0.310311586
-0.753802896,0.370501697,0.327461421
-0.785333872,0.39504382,0.343203485
-0.812042594,0.417307287,0.357527852
-0.833676219,0.436578393,0.370440066
-0.850045621,0.452142179,0.381878793
-0.861129522,0.463407844,0.391769648
-0.866991341,0.469864875,0.399963796
-0.867823482,0.471163392,0.40628466
-0.863901496,0.467104733,0.410494924
-0.855571806,0.457660437,0.412337571
-0.843247652,0.442996681,0.41153264
-0.827349484,0.42342627,0.407807946
-0.808341742,0.399466068,0.40092802
-0.786638677,0.371722013,0.390700758
-0.762683332,0.340979517,0.377036691
-0.736844778,0.308056623,0.359930933
-0.709450305,0.273814946,0.339488268
-0.680836916,0.239193454,0.315977097
-0.651236534,0.205024987,0.289738238
-0.6209203,0.172173753,0.26128903
-0.59006393,0.141342849,0.231179297
-0.558904707,0.113213301,0.200103685
-0.527603388,0.0882805139,0.16872628
-0.496403515,0.0669837669,0.137797415
-0.46549052,0.0495854802,0.107967705
-0.435147882,0.0362803526,0.079904899
-0.405612469,0.0271203667,0.0541208871
-0.377222389,0.0220939741,0.0310847126
-0.350271434,0.021096915,0.0110814366
-0.325142533,0.023972977,-0.00568439765
-0.302168548,0.0305243339,-0.019186493
-0.281744123,0.0405118316,-0.0294883661
-0.26420179,0.053698156,-0.0367967784
-0.249896005,0.0698082447,-0.0413931496
-0.239103824,0.0885996148,-0.0436495394
-0.232077733,0.109788395,-0.0439828075
-0.228978574,0.133142665,-0.0428449921
-0.229895175,0.15838097,-0.0406999923
-0.234818041,0.185285956,-0.0380016305
-0.243625894,0.213582039,-0.035188619
-0.25609526,0.243049666,-0.0326632522
-0.271901935,0.273479253,-0.0307906251
-0.290597647,0.304633856,-0.0298973434
-0.311631829,0.336286038,-0.0302649811
-0.334397614,0.368259728,-0.0321327336
-0.358231574,0.400394291,-0.0357033983
-0.382387668,0.432484895,-0.0411341563
-0.406165898,0.464419007,-0.0485554077
-0.428823799,0.496018738,-0.0580432639
-0.449716032,0.527194381,-0.0696530938
-0.468210757,0.557785749,-0.0833690763
-0.483808905,0.587711275,-0.0991547555
-0.496070683,0.616815031,-0.116879098
-0.504698515,0.645009518,-0.13638629
-0.509478807,0.672130466,-0.157403141
-0.510317564,0.698073447,-0.179628342
-0.507205248,0.722660005,-0.202628568
-0.500203371,0.745764196,-0.22594671
-0.489437968,0.76719135,-0.248996124
-0.475043803,0.786789656,-0.271182179
-0.457195103,0.804344237,-0.291806042
-0.43601647,0.819669664,-0.310189813
-0.411656678,0.832519889,-0.325601786
-0.384177536,0.842655897,-0.337370187
-0.353672862,0.849782288,-0.344840646
-0.320142359,0.85358578,-0.347461909
-0.283654094,0.853704035,-0.344783694
-0.244201973,0.849739313,-0.336497068
-0.201907799,0.841268539,-0.322475225
-0.156883314,0.827841163,-0.302768737
-0.109320022,0.808988869,-0.2776196
-0.0596054643,0.784301221,-0.247529268
-0.00813292712,0.753363729,-0.21314162
0.0444492847,0.715911567,-0.175373256
0.0974882916,0.671716511,-0.13522464
0.150084779,0.62080586,-0.0939256847
0.201370865,0.563277841,-0.0526979119
0.250287861,0.499577284,-0.0129007697
0.29587397,0.430234253,0.0242249519
0.33707431,0.356179237,0.0574267656
0.373010248,0.278399259,0.0856777802
0.402831435,0.198277235,0.108072832
0.425935805,0.117180593,0.124011062
0.441868961,0.0368021578,0.133123502
0.450468898,-0.0412888974,0.135372579
0.451812029,-0.115321644,0.131013721
0.446266472,-0.183768392,0.120597705
0.434481055,-0.245053008,0.104964681
0.417342901,-0.297941566,0.0851554275
0.396001935,-0.341299832,0.0624324046
0.371746987,-0.374386966,0.0381240509
0.346051574,-0.396672606,0.0136646777
0.320397168,-0.408005953,-0.00959040225
0.296326667,-0.408501834,-0.0303171352
0.275253266,-0.398575008,-0.047395274
0.258506179,-0.378904194,-0.0598641038
0.247167423,-0.350341141,-0.0670457482
0.242097646,-0.313955784,-0.0685148388
0.243836433,-0.270875573,-0.0641519949
0.252613544,-0.222268239,-0.0541136116
0.268302619,-0.169403329,-0.038851887
0.290472686,-0.113397613,-0.0190353394
0.318334937,-0.055439502,0.00441808999
0.350884914,0.00350406766,0.0304844752
0.386821032,0.0624197274,0.057977356
0.424760133,0.120538086,0.0857305452
0.463134617,0.177045897,0.112525105
0.500446141,0.231362253,0.137276292
0.535151899,0.282855511,0.158955172
0.565909326,0.331097007,0.176744953
0.591467798,0.375606596,0.189968437
0.610861719,0.416080087,0.198189214
0.623320162,0.452174515,0.201154962
0.628380477,0.483708084,0.19883047
0.625830829,0.510492265,0.191367507
0.615725696,0.532494903,0.179071486
0.598377109,0.549722135,0.162405953
0.574278295,0.562335372,0.141902819
0.544149041,0.570575833,0.118209928
0.508782387,0.574832201,0.0919613466
0.469150215,0.575597703,0.0638659745
0.426196009,0.573484242,0.0345592462
0.380994886,0.569202006,0.00472332025
0.334544599,0.563531041,-0.0250454415
0.287822813,0.557290256,-0.0541881956
0.241829768,0.551311433,-0.0821474269
0.197514549,0.546387494,-0.108406134
0.155714601,0.543219864,-0.132516921
0.117206901,0.542385519,-0.154061601
0.0827653408,0.544291317,-0.172619984
0.0529917888,0.549138427,-0.187861189
0.0284722224,0.556886613,-0.199460745
0.00961892027,0.567262471,-0.207185701
-0.00322497683,0.579723358,-0.210850477
-0.00989285298,0.593520641,-0.210367024
-0.0103458753,0.607672274,-0.205739886
-0.00471631018,0.6210711,-0.197074533
0.00668759178,0.632476449,-0.184604719
0.0234090947,0.640640259,-0.168652609
0.0447949693,0.644325495,-0.149682686
0.0700908825,0.642412305,-0.128212914
0.0983640775,0.633946717,-0.104885742
0.128653705,0.618187428,-0.0803409219
0.159873411,0.594688594,-0.0552955791
0.190997556,0.563252091,-0.0303938687
0.220954463,0.524050355,-0.00629221881
0.248817414,0.477467924,0.0164939929
0.27369976,0.424266398,0.0375038311
0.294921756,0.365323156,0.0564649403
0.311917067,0.301837325,0.0732089952
0.324350893,0.234991521,0.0877707303
0.33204639,0.166198716,0.100305289
0.33504191,0.0967637748,0.111141592
0.333545148,0.0279505681,0.120730445
0.327928483,-0.0389367566,0.129602775
0.318693757,-0.10288322,0.138374403
0.306466639,-0.162867144,0.147660717
0.291921556,-0.21818769,0.158078849
0.275806278,-0.268184394,0.170157492
0.258840561,-0.312505752,0.184348777
0.241761938,-0.35086301,0.200931743
0.225217625,-0.383235365,0.22005251
0.209824175,-0.409671009,0.241620541
0.196068674,-0.430431664,0.265390664
0.184370294,-0.445845336,0.290855646
0.175003916,-0.456393212,0.317371756
0.168153837,-0.462614,0.344057888
0.163867578,-0.465137571,0.36995402
0.162093043,-0.464631379,0.393938154
0.162665367,-0.461790204,0.414899349
0.165326566,-0.457311898,0.431681663
0.169739872,-0.451858044,0.443245023
0.175493956,-0.446045607,0.448646367
0.182140127,-0.440397292,0.447150856
0.189183846,-0.435342759,0.438257337
0.196135953,-0.431173801,0.421730101
0.202497765,-0.428056151,0.397666156
0.207812607,-0.426003814,0.366425872
0.21165511,-0.42489922,0.3287386
0.213668764,-0.424496263,0.285528094
0.213561386,-0.424450547,0.238048971
0.211126029,-0.424345225,0.187653989
0.206234008,-0.423730344,0.135796785
0.198851883,-0.422162294,0.0840602294
0.189010814,-0.419241279,0.0338586494
0.176836193,-0.414657652,-0.0133867059
0.162487447,-0.408209413,-0.0565540306
0.146202043,-0.39984861,-0.094646588
0.128210798,-0.389664441,-0.127038658
0.108800329,-0.377926588,-0.153311253
0.0882097408,-0.365026653,-0.17341195
0.0667115003,-0.351513684,-0.187511787
0.0445008017,-0.338001013,-0.196073189
0.0217925087,-0.325190991,-0.199736193
-0.00128928572,-0.313764393,-0.199309275
-0.0245999806,-0.304391563,-0.195690945
-0.0480816141,-0.297628492,-0.189809814
-0.0716411173,-0.293913633,-0.182583004
-0.0952543318,-0.293495566,-0.174837857
-0.118839309,-0.296416849,-0.167301759
-0.142359704,-0.302492052,-0.160534933
-0.165699407,-0.311287105,-0.154945314
-0.188768476,-0.322152913,-0.150749475
