r,f,g,f_s,E_k,k,V_t,V_1,V_2
2.8001400070003504,-0.03871585037584299,-0.0019044748688597916,0.11503496045857815,0.0024151519194738455,2.8000000000000003,-0.001373062123813995,0.00962469761716979,0.008869572841145697
2.8501425071253563,-0.0377802531250639,0.0011181724739322823,0.11493224041221284,0.002410722855343007,2.85,-0.0017225817563814583,0.008549720699269429,0.007726810019050921
2.9001450072503627,-0.03664612311685959,0.004208584977671714,0.11480756483532888,0.0023995825399729435,2.9000000000000004,-0.002033483988899021,0.007426860673879031,0.006503995102850508
2.950147507375369,-0.0353369686615323,0.007344452305014938,0.11466359203997928,0.0023820130600419355,2.95,-0.002304899181783837,0.006264458694514145,0.005197822937802343
3.000150007500375,-0.033876726164829465,0.01049561142216262,0.11450301889656317,0.002358342809859844,3.0,-0.002536325228587155,0.005073682158134394,0.0038094774081892106
3.0501525076253815,-0.03228950723114922,0.013625942079627435,0.11432855068302974,0.002328940889079395,3.0500000000000003,-0.0027276888332787297,0.003867868992977278,0.0023441616231442653
3.100155007750388,-0.030599336333347382,0.01669534341343683,0.1141428693696233,0.002294211126434099,3.1,-0.0028793884029888472,0.002661749646865731,0.0008105653006237677
3.150157507875394,-0.028829846379182362,0.019661718857231662,0.1139486003918564,0.002254585831171164,3.1500000000000004,-0.002992298113818348,0.00147062815735731,-0.0007797039451598291
3.2001600080004002,-0.027004011495945664,0.022482904487343774,0.11374828209533716,0.0022105193758680006,3.2,-0.00306775521024355,0.00030970408833532473,-0.0024127021110533883
3.2501625081254066,-0.025143857857008237,0.02511848349868626,0.11354433629601197,0.002162481714562854,3.25,-0.003107521969659466,-0.0008066031754606672,-0.004072723566480656
3.3001650082504126,-0.02327024216704976,0.027531437703468793,0.11333904507879176,0.0021109519386190794,3.3000000000000003,-0.003113734152358383,-0.0018652963727280281,-0.005742853363271456
3.350167508375419,-0.021402624427309648,0.02968960367883946,0.11313453051915175,0.00205641196953368,3.35,-0.0030888292850199672,-0.0028553915469741536,-0.007405485072286301
3.4001700085004254,-0.01955893259009202,0.031566893773015144,0.11293274161139034,0.001999340483078259,3.4000000000000004,-0.003035466874480308,-0.0037682373839534235,-0.009042795498651869
3.4501725086254313,-0.017755431189266025,0.03314427193117377,0.11273544413418797,0.0019402071528355298,3.45,-0.002956446699918902,-0.004597784750619255,-0.010637170588119627
3.5001750087504377,-0.016006684168857505,0.03441046470452598,0.11254421857280508,0.0018794672935028896,3.5,-0.002854622735311396,-0.005340719506187978,-0.012171579335891226
3.550177508875444,-0.014325526937987814,0.03536241345384449,0.11236046035777701,0.0018175569754342222,3.5500000000000003,-0.002732823377717686,-0.005996490468712818,-0.013629894539690124
3.60018000900045,-0.01272312504726923,0.03600545310038963,0.11218538623178234,0.001754888671958746,3.6,-0.002593773226586993,-0.0065670685491614166,-0.014997160826239798
3.6501825091254565,-0.011209040227966352,0.03635324172417938,0.11202004210029506,0.0016918474902438752,3.6500000000000004,-0.002440035492391357,-0.0070566399563122655,-0.01625981157176286
3.700185009250463,-0.00979135826593665,0.036427441031841076,0.11186531577715703,0.0016287880250619913,3.7,-0.002273958310964719,-0.0074711725357577904,-0.01740583719140527
3.750187509375469,-0.008476819545517617,0.036257176617764945,0.11172195028491042,0.001566031862991146,3.75,-0.00209764666102491,-0.00781790690515575,-0.018424907852810545
3.8001900095004753,-0.007270980665306147,0.035878279038244386,0.11159055901188686,0.0015038657525439406,3.8000000000000003,-0.0019129405203167638,-0.008104719428963295,-0.01930845403621269
3.8501925096254817,-0.006178371228016528,0.035332347065090745,0.11147164110047435,0.0014425404436939943,3.85,-0.0017214230205618297,-0.008339461093963368,-0.02004970857200063
3.9001950097504876,-0.005202645657868277,0.034665641218127756,0.11136559644522953,0.0013822701884692139,3.9000000000000004,-0.001524434048437051,-0.008529320603307976,-0.020643713882576322
3.950197509875494,-0.004346723648513351,0.03392784809087471,0.11127274031146188,0.0013232328829115274,3.95,-0.0013231100165056464,-0.008680190668995605,-0.021087298174625374
4.0002000100005,-0.0036128941946063533,0.03317072687922619,0.11119331467756531,0.0012655708199590455,4.0,-0.0011184271795388057,-0.008796119612148452,-0.021379024296855502
4.050202510125507,-0.003002903994030432,0.03244668559908556,0.11112749883453316,0.001209392012869632,4.05,-0.0009112647153868836,-0.008878828416792729,-0.02151911491490344
4.100205010250513,-0.002517985686143057,0.03180730121511161,0.1110754146586539,0.0011547720398379748,4.1000000000000005,-0.0007024668803241041,-0.008927420049837254,-0.021509357569877364
4.150207510375519,-0.002158871572722512,0.03130182946632206,0.11103713038485039,0.0011017563526047258,4.15,-0.0004929141490612743,-0.008938102706579201,-0.021352993085069914
4.200210010500525,-0.0019257363796174763,0.03097572794852977,0.11101265761291158,0.0010503629852369667,4.2,-0.00028359239203251674,-0.008904502480721378,-0.02105459066805563
4.2502125106255315,-0.001818127859365775,0.03086923644407554,0.11100194620641993,0.0010005855939705952,4.25,-7.564242121821385e-05,-0.008817465743896646,-0.020619912921638592
4.300215010750538,-0.0018348500222351881,0.031016041821423805,0.1110048737020686,0.0009523967551177846,4.3,0.00012956735071029124,-0.0086654335631336,-0.02005577382502276
4.350217510875544,-0.001973806436969471,0.03144206428714957,0.1110212299799786,0.0009057514456004858,4.3500000000000005,0.0003304141945255079,-0.008435366816204921,-0.01936989257415855
4.400220011000551,-0.0022318513620154102,0.03216439850147838,0.11105070022327586,0.0008605906296906477,4.4,0.0005249960363870043,-0.00811308766170939,-0.018570745976308527
4.450222511125556,-0.0026046029744011554,0.033190446613554934,0.11109284402798314,0.0008168448760090392,4.45,0.0007111226345209998,-0.007684208815408334,-0.017667421878351693
4.500225011250563,-0.0030862838995107567,0.03451726745023854,0.11114707492234528,0.0007744379307204042,4.5,0.0008863340198778658,-0.0071350355605341,-0.0166694758725787
4.550227511375569,-0.003669556596897873,0.03613117000409385,0.11121263928421439,0.0007332901761004659,4.55,0.0010479316376531544,-0.006453525299136583,-0.0155867932702192
4.600230011500575,-0.004345401307417067,0.03800756671198166,0.11128859797907178,0.0006933219081536917,4.6000000000000005,0.0011930369261620166,-0.005630192256991207,-0.014429458065539734
4.650232511625582,-0.005103021823092877,0.040111118187461416,0.11137381211780113,0.0006544563726208983,4.65,0.001318658190699984,-0.004659047403953767,-0.013207630336704999
4.700235011750588,-0.005929803784955242,0.04239616109996882,0.11146693399949074,0.0006166225054042578,4.7,0.0014217843024760812,-0.0035384189644539106,-0.011931433248966231
4.750237511875594,-0.006811333034637659,0.04480743573441478,0.11156640541186416,0.0005797573310084392,4.75,0.001499479940303694,-0.0022715673542582013,-0.010610850546711494
4.8002400120006,-0.007731468347608252,0.04728109483233775,0.11167046263818951,0.0005438079808904145,4.800000000000001,0.0015489972424510001,-0.0008671280488885179,-0.009255635149032888
4.8502425121256065,-0.008672493937401216,0.04974599839442132,0.11177715165388902,0.0005087333024559802,4.8500000000000005,0.001567881051558584,0.0006606493083099305,-0.0078752292038938
4.900245012250613,-0.009615318643382066,0.05212525328006578,0.11188434987542402,0.00047450503865937514,4.9,0.0015540814163675365,0.0022918957848051483,-0.0064786957134555226
4.950247512375619,-0.010539763608764529,0.05433798464719148,0.1119897979838728,0.00044110856757052444,4.95,0.0015060502321044833,0.004001476289709704,-0.005074661621613829
5.000250012500626,-0.011424877584336296,0.05630129046120896,0.1120911366132754,0.0004085432006882989,5.0,0.0014228308638964404,0.0057595308725692995,-0.003671272057415596
5.050252512625631,-0.012249332291365189,0.05793234136652172,0.1121859518434141,0.00037682204801654833,5.050000000000001,0.0013041256144797342,0.007532309466944727,0.0
5.100255012750638,-0.012991818789551919,0.05915056713980916,0.11227182208447516,0.00034597146680705876,5.1000000000000005,0.0011503458476702089,0.009283195084769854,0.0
5.150257512875644,-0.013631503064602202,0.05987988124693291,0.11234637068571987,0.0003160301192439398,5.15,0.0009626345493451427,0.010973971255317252,0.0
5.20026001300065,-0.014148449503790819,0.060050882114060955,0.11240731643223753,0.00028704767204325375,5.2,0.0007428641396844404,0.0125661010169368,0.0
5.250262513125657,-0.014524073854888225,0.05960295884942156,0.11245252597952397,0.0002590831778310533,5.25,0.0004936088206105582,0.014022181897167306,0.0
5.300265013250663,-0.014741533476442687,0.05848624880084746,0.1124800603583711,0.000232203184120796,5.300000000000001,0.00021808785447069434,0.015307372695048947,0.0
5.350267513375669,-0.014786112144553498,0.05666337982708609,0.11248822007771767,0.0002064796206354256,5.3500000000000005,-7.991301968424125e-05,0.016390709679431358,0.0
5.400270013500675,-0.014645515882749186,0.05411094926009069,0.11247558214617677,0.0001819875195292583,5.4,-0.00039614265727822007,0.01724619308258524,0.0
5.4502725136256815,-0.014310136329079499,0.050820665079678855,0.11244103166586081,0.00015880262570209012,5.45,-0.0007259968867667221,0.017853830415421025,0.0
5.500275013750688,-0.013773211540205716,0.046800127351819265,0.11238378349230621,0.00013699895582747613,5.5,-0.0010646501383350104,0.018200408741632836,0.0
5.550277513875694,-0.013030931203152088,0.04207319884117223,0.11230339690282812,0.00011664636492783554,5.550000000000001,-0.0014071872071590996,0.01827984423720693,0.0
5.600280014000701,-0.012082439122373926,0.03667995448255136,0.11219978031118738,9.780817833331349e-05,5.6000000000000005,-0.0017487379884535414,0.018093197891838313,0.0
5.650282514125706,-0.010929776543808329,0.03067617544515691,0.11207318604228106,8.05389446948976e-05,5.65,-0.00208460031023322,0.01764859465350055,0.0
5.700285014250713,-0.009577737055148144,0.024132410751868602,0.11192419574437024,6.488236244304856e-05,5.7,-0.0024103625834488995,0.016960668727489983,0.0
5.750287514375719,-0.008033662542533505,0.017132608129320985,0.11175369717264834,5.0869427769941163e-05,5.75,-0.0027219985565212768,0.016049650188599773,0.0
5.8002900145007255,-0.006307184240761268,0.009772345267685452,0.11156285275880692,3.851684696436746e-05,5.800000000000001,-0.0030159503909918395,0.014940489610647973,0.0
5.850292514625732,-0.00440991887239903,0.002156707627871383,0.11135306144670169,2.7825749858586823e-05,5.8500000000000005,-0.003289186998112592,0.01366153128713705,0.0
5.900295014750738,-0.002355139605047195,-0.005602138724817471,0.11112591493691214,1.8780734385840215e-05,5.9,-0.0035392367084683962,0.012243268807351854,0.0
5.950297514875744,-0.00015743293704431437,-0.013387604353753099,0.11088315146720405,1.1349264937827434e-05,5.95,-0.0037642001222338295,0.010716947538026348,0.0
6.00030001500075,0.0021676457851924026,-0.021081494910046888,0.11062660894991837,5.4814395044807775e-06,6.0,-0.003962734106759125,0.009113242256367561,0.0
6.050302515125757,0.004603896254140352,-0.028566903702648343,0.11035817861856669,1.110132631280804e-06,6.050000000000001,-0.004134020432558949,0.007461139551929406,0.0
6.100305015250763,0.007134779999149378,-0.03573108875390335,0.11007976425866174,-1.8484867971243915e-06,6.1000000000000005,-0.0042777142643856125,0.00578685616417516,0.0
6.150307515375769,0.009743682384082065,-0.042468245280401384,0.10979324679669683,-3.494071883473212e-06,6.15,-0.004393879884898977,0.004112856908186109,0.0
6.200310015500776,0.01241414217559343,-0.04868208811879154,0.10950045609841592,-3.940864797398602e-06,6.2,-0.004482910909934801,0.002457370928751841,0.0
6.250312515625781,0.015130017677319797,-0.05428816012110568,0.10920314996716685,-3.3161385664609365e-06,6.25,-0.004545454929534842,0.000834208506387522,0.0
6.300315015750788,0.01787562575237314,-0.05921578583087986,0.10890300307691829,-1.75834431996e-06,6.300000000000001,-0.004582332861011729,-0.0007473989165300694,0.0
6.350317515875794,0.020635811058118854,-0.0634096125743533,0.10860160307433932,5.849991547853851e-07,6.3500000000000005,-0.004594463422042228,-0.002282807334762394,0.0
6.4003200160008005,0.023395994321106388,-0.06683068671453006,0.10830045149561562,3.55963134666805e-06,6.4,-0.0045827871720751645,-0.0037713174163237174,0.0
6.450322516125807,0.026142150305602154,-0.06945703420601776,0.10800097140666559,7.0070447932052405e-06,6.45,-0.0045482158023455455,-0.0052153916160344455,0.0
6.500325016250813,0.028860795159138784,-0.07128371927448347,0.10770451593372056,1.0767098548213393e-05,6.5,-0.004491584576265306,-0.006620050406601067,0.0
6.55032751637582,0.031538907236926594,-0.07232239449138343,0.10741238082821089,1.4680697739335837e-05,6.550000000000001,-0.004413623244854392,-0.007992184578946465,0.0
6.600330016500825,0.03416387950153075,-0.07260035299792511,0.10712581278846113,1.8592485218334317e-05,6.6000000000000005,-0.004314931966906299,-0.009339413930832194,0.0
6.650332516625832,0.03672341141472733,-0.07215913292069714,0.10684602204177031,2.2353491007773876e-05,6.65,-0.004195988458570332,-0.010669070519367899,0.0
6.700335016750838,0.039205469927592405,-0.07105271044792455,0.10657418687602176,2.582368604089122e-05,6.7,-0.004057155236377119,-0.011987558129074056,0.0
6.750337516875844,0.04159819007504222,-0.06934537136933469,0.10631146235928556,2.8874388555704737e-05,6.75,-0.003898705458245111,-0.013299659566347646,0.0
6.800340017000851,0.04388986701457137,-0.06710932084525459,0.10605898158006227,3.1390474397831554e-05,6.800000000000001,-0.00372084984860771,-0.014607817207628661,0.0
6.850342517125857,0.046068888972041915,-0.06442214555032301,0.10581786144713264,3.3272346346998115e-05,6.8500000000000005,-0.0035237821557944637,-0.015911262319812155,0.0
6.900345017250863,0.04812378389865976,-0.06136418928888077,0.10558920111307728,3.443762232955272e-05,6.9,-0.0033077295203765567,-0.017207271900872737,0.0
6.950347517375869,0.05004321293565315,-0.058015969865305606,0.10537408457571404,3.4822507916110124e-05,6.95,-0.003072958760412303,-0.0184892505277148,0.0
7.0003500175008755,0.05181602462313888,-0.05445570924050445,0.10517357975489859,3.4382824717683906e-05,7.0,-0.0028198799909519567,-0.019746795785235974,0.0
7.050352517625882,0.053431372866357525,-0.050757059719927486,0.1049887359294753,3.309467306060514e-05,7.050000000000001,-0.0025490485949906105,-0.02096763746793264,0.0
7.100355017750888,0.0548787735126937,-0.04698713121528406,0.10482058092499123,3.0954714505304906e-05,7.1000000000000005,-0.0022612101137761687,-0.022136665787378034,0.0
7.150357517875895,0.056148276254793676,-0.04320483761232088,0.10467011524329634,2.7980067234447783e-05,7.15,-0.0019573285744134417,-0.02323680710385396,0.0
7.2003600180009,0.05723055524394809,-0.03945966140230048,0.1045383040572901,2.4207814924894788e-05,7.2,-0.0016386047203038046,-0.024249416322047145,0.0
7.250362518125907,0.05811710289756219,-0.03579082320219479,0.10442606667261281,1.9694137286826762e-05,7.25,-0.0013064920754720655,-0.025155120587924865,0.0
7.300365018250913,0.0588003398142491,-0.03222691941250071,0.10433426200318198,1.4513077854358963e-05,7.300000000000001,-0.000962690939608768,-0.025934605422000143,0.0
7.350367518375919,0.05927380136618516,-0.028785974222585678,0.10426367430446501,8.754971701257963e-06,7.3500000000000005,-0.0006091424877404661,-0.02656933108519979,0.0
7.400370018500926,0.05953224052480216,-0.025475940172073466,0.10421499494292226,2.5245623958897984e-06,7.4,-0.00024800359698756713,-0.027042140273115637,0.0
7.450372518625932,0.05957178420683085,-0.022295564726916593,0.1041888059104545,-4.061156426729472e-06,7.45,0.00011837476833037597,-0.027338118300590797,0.0
7.500375018750938,0.05939001012912921,-0.019235618717760774,0.10418556170612364,-1.087533412710363e-05,7.5,0.00048749454220048394,-0.027445392764149687,0.0
7.550377518875944,0.05898604670040476,-0.016280381621575354,0.1042055754023978,-1.778384543339376e-05,7.550000000000001,0.0008567518359369197,-0.02735558113293989,0.0
7.6003800190009505,0.05836060027821586,-0.013409356112370863,0.10424900514604539,-2.4648013105717295e-05,7.6000000000000005,0.0012234934044761947,-0.027064120142074512,0.0
7.650382519125957,0.05751598721495541,-0.010599096301482364,0.10431584607703306,-3.132741913229867e-05,7.65,0.0015850641213138172,-0.02657071172816505,0.0
7.700385019250963,0.05645610407246796,-0.007825100932370464,0.10440592526834803,-3.76827509565744e-05,7.7,0.001938872327060026,-0.025879516245855615,0.0
7.75038751937597,0.05518638115002555,-0.005063664412893315,0.10451890162582247,-4.357862852671428e-05,7.75,0.0022824395085702665,-0.024998957303759287,0.0
