u_total,v_total,w_total
0.215570882,-0.25343889,-0.211907476
0.225618601,-0.271404088,-0.214586079
0.234961301,-0.288547754,-0.215076178
0.24368301,-0.304622799,-0.213383704
0.251961142,-0.319448143,-0.209601775
0.260024846,-0.332835615,-0.203923941
0.26819554,-0.34466368,-0.196628243
0.276843399,-0.354813874,-0.188104272
0.286422402,-0.363227397,-0.178815201
0.297419488,-0.369854361,-0.169331521
0.310392737,-0.374693692,-0.160278082
0.325904876,-0.377759457,-0.15236479
0.344575107,-0.379106164,-0.146327347
0.366987586,-0.378815353,-0.14294152
0.393767864,-0.377008379,-0.142969072
0.425454348,-0.373854995,-0.14714022
0.462611139,-0.369574845,-0.156119406
0.505650401,-0.364463866,-0.170442641
0.554992735,-0.358886123,-0.190519959
0.61083132,-0.353308022,-0.216521531
0.673350036,-0.348280609,-0.248434931
0.742424548,-0.344468087,-0.285903722
0.817907274,-0.342621624,-0.328356564
0.899270058,-0.343584508,-0.374813616
0.985959113,-0.34826532,-0.424094886
1.07699299,-0.357601047,-0.474619448
1.17138684,-0.372543931,-0.524685919
1.26772511,-0.393968314,-0.572293043
1.36458337,-0.422674894,-0.615437746
1.46039629,-0.459330767,-0.652107298
1.55332589,-0.504331172,-0.680332661
1.64172506,-0.557923079,-0.698442698
1.72375083,-0.619946778,-0.705037355
1.79785848,-0.690074563,-0.699167848
1.86247051,-0.767497778,-0.680381119
1.91639614,-0.851275086,-0.648741782
1.95856822,-0.939981341,-0.604941428
1.98834705,-1.03215218,-0.550133467
2.00533485,-1.12590921,-0.486097515
2.00952888,-1.21947014,-0.41489926
2.00122643,-1.31076634,-0.339095294
1.98101866,-1.39796805,-0.261271328
1.94978714,-1.47911644,-0.184271023
1.90855694,-1.5526073,-0.11069037
1.85858226,-1.61685991,-0.0431156233
1.80109012,-1.67071259,0.0163430795
1.73746216,-1.71314621,0.0658253282
1.66889811,-1.74356151,0.10407576
1.59668565,-1.76157808,0.13025111
1.52183092,-1.7671746,0.144122869
1.44539022,-1.76058352,0.145939991
1.3680948,-1.74228871,0.136465341
1.29072607,-1.71302485,0.116911739
1.21374881,-1.67365134,0.088829495
1.13770604,-1.6252501,0.0541162342
1.06286371,-1.56889367,0.0147955883
0.989601731,-1.50583422,-0.0269122534
0.91811198,-1.43723941,-0.0688461438
0.848558724,-1.36423886,-0.108924314
0.781212151,-1.28804195,-0.145157665
0.716164351,-1.20959353,-0.175894305
0.653660774,-1.12992537,-0.19971621
0.593785405,-1.04975712,-0.215641141
0.536761105,-0.969879389,-0.223049954
0.482655615,-0.890763581,-0.221785009
0.431655198,-0.812953711,-0.212117746
0.383796036,-0.736692548,-0.19472596
0.339209527,-0.662312925,-0.170700669
0.297887683,-0.589881301,-0.14140667
0.259899408,-0.519573212,-0.108520657
0.225189865,-0.451334327,-0.0738037825
0.193767846,-0.385235369,-0.0391590074
0.165539205,-0.32114628,-0.00636531506
0.140463263,-0.259066433,0.02285829
0.118418366,-0.198815599,0.0470985435
0.0993277133,-0.140342668,0.0651867017
0.0830541179,-0.0834342241,0.0763718933
0.069495827,-0.0280077681,0.0802702382
0.0585086346,0.0261585135,0.0769302323
0.0499736853,0.0791423321,0.0667996779
0.0437446274,0.131127983,0.0506734811
0.0396900773,0.182130039,0.0296830498
0.0376631245,0.232230201,0.0051458925
0.0375219546,0.28131038,-0.0214215517
0.0391179062,0.329254955,-0.0484945364
0.0423037969,0.375845671,-0.0745876655
0.0469234474,0.420676947,-0.098291181
0.0528270379,0.463356316,-0.118451856
0.0598487295,0.503299892,-0.134118825
0.0678352267,0.539959431,-0.144678503
0.076611653,0.572657645,-0.14979963
0.086020276,0.600798905,-0.149482146
0.0958788469,0.623747647,-0.144012138
0.106027372,0.641001403,-0.133924067
0.116281331,0.652117431,-0.119975872
0.126483873,0.656823874,-0.103043288
0.136458308,0.654992521,-0.0841230229
0.14606148,0.646675229,-0.0641907305
0.155139342,0.632119775,-0.044233527
0.163577646,0.611722767,-0.0251073986
0.171262845,0.586086869,-0.00759410765
0.17812641,0.555898845,0.00771429203
0.184112251,0.522021711,0.0203444902
0.189212009,0.485312849,0.0300155189
0.193437785,0.446747631,0.0365679115
0.196846858,0.407202989,0.0399936028
0.199519128,0.367603272,0.0403808281
0.201570287,0.328693718,0.0379077457
0.203132614,0.291202545,0.0328151323
0.204358339,0.255628467,0.0253744945
0.205402628,0.222407863,0.015894739
0.206420362,0.191735014,0.00467460277
0.207550645,0.1637256,-0.00795940123
0.208911508,0.138292208,-0.02170109
0.210589722,0.115225457,-0.0362464748
0.212630466,0.0942526236,-0.0512621924
0.215039372,0.0749709383,-0.0664451644
0.217770785,0.0569819883,-0.0814480633
0.220739737,0.0398283713,-0.0959521905
0.223812088,0.0231132042,-0.109597109
0.22682482,0.00644247979,-0.122055523
0.229579777,-0.0104697077,-0.132974908
0.231867269,-0.0278670676,-0.142046899
0.233464062,-0.0458584428,-0.148965493
0.234154359,-0.0645003766,-0.153481841
0.233731911,-0.0837135613,-0.155380979
0.232011154,-0.103383794,-0.154512301
0.228834763,-0.123283401,-0.150786787
0.22406809,-0.143184766,-0.144175768
0.217614576,-0.162783667,-0.1347294
0.209389836,-0.181815132,-0.122541688
0.199347764,-0.199976653,-0.107790671
0.187433451,-0.217035517,-0.090671882
0.173625126,-0.232752755,-0.071460858
0.157867268,-0.246973515,-0.0504209027
0.140132397,-0.259554118,-0.02788659
0.120338887,-0.270431459,-0.00415399252
0.0984354913,-0.279558241,0.02041764
0.074321568,-0.286946326,0.0455106273
0.0478812046,-0.292634845,0.0708108991
0.0190459695,-0.296676219,0.0959630013
-0.0123112816,-0.299149126,0.120679587
-0.0462224893,-0.300130278,0.144621313
-0.0827636719,-0.299698889,0.16751799
-0.121875308,-0.297923714,0.189055637
-0.163528427,-0.294854015,0.208990887
-0.207523689,-0.290522158,0.227052078
-0.253688335,-0.284921229,0.243041798
-0.301660329,-0.278021306,0.256756485
-0.351115882,-0.269735873,0.268070698
-0.401545197,-0.259951979,0.276876748
-0.452505469,-0.248486012,0.283143491
-0.503392339,-0.235131621,0.286874503
-0.553707123,-0.219604909,0.288136244
-0.602829039,-0.201616198,0.287032455
-0.65027976,-0.18080312,0.283700675
-0.695500255,-0.156833932,0.278302222
-0.738094807,-0.12932393,0.270990252
-0.777618647,-0.0979765728,0.261918128
-0.813786268,-0.0624752007,0.251187712
-0.846274436,-0.0226655826,0.2388798
-0.874889135,0.0215888917,0.224992752
-0.899392784,0.0701847076,0.209500745
-0.919625342,0.122971036,0.192289323
-0.935368657,0.179495662,0.173243463
-0.946427166,0.239252985,0.152180582
-0.952536345,0.30141151,0.128967389
-0.953410387,0.365077883,0.10345906
-0.948701382,0.429216772,0.0755577609
-0.93802774,0.492566407,0.0452950671
