r,f,g,f_s,E_k,k,V_t,V_1,V_2
0.0,1.0000000000000087,1.0000000000000007,0.0,0.0,0.0,0.028884170943267753,0.0,0.0
0.050002500125006254,0.9976450251497354,0.9949554066662046,0.0019648450760988406,1.593564996537627e-05,0.05,0.05813327276418677,0.007297235769963798,0.0
0.10000500025001251,0.990520593747177,0.9799888706546125,0.00782945303562034,6.364772247861712e-05,0.1,0.11596177339178816,0.001037089987608509,0.006495051304092976
0.15000750037501875,0.9787359098099097,0.9554363449641294,0.017504381464375832,0.0001428537126993652,0.15000000000000002,0.17202086618075796,0.0038728904012854826,0.002373704851798179
0.20001000050002501,0.9624702948915455,0.9218452795447094,0.030842807707400503,0.00025308981780602474,0.2,0.22547849697724576,0.009191829091436612,0.008567056472798498
0.2500125006250313,0.9419686305480764,0.8799567195377772,0.04764425315710792,0.0003937213124759986,0.25,0.2755682855779438,0.017622391896137846,0.024924805029789044
0.3000150007500375,0.9175352068570917,0.8306813207941783,0.06765962003474368,0.0005639567140118585,0.30000000000000004,0.32160789769151243,0.029634548048147646,0.05520345685813856
0.3500175008750438,0.8895261690905291,0.7750703039326845,0.09059737344410931,0.0007628653863456706,0.35000000000000003,0.3630145527763522,0.045516070883798235,0.10176825320681412
0.40002000100005003,0.8583408374739014,0.7142825305882714,0.11613065383320155,0.0009893981456676536,0.4,0.39931715797972844,0.06535822851178479,0.16454167105394335
0.45002250112505626,0.8244121752582753,0.6495490929470863,0.1439050884486152,0.0012424103538320043,0.45,0.4301647280153892,0.08905139086523195,0.24093010413464286
0.5000250012500626,0.7881967355060387,0.5821367675330034,0.17354703435772378,0.0015206869207485423,0.5,0.4553309238208247,0.11629050693156444,0.32638679888433175
0.5500275013750688,0.7501643890742197,0.5133118188736464,0.20467200098974087,0.0018229685851797364,0.55,0.4747147100069304,0.14659005287067906,0.41533131344998997
0.600030001500075,0.7107881641943081,0.4443053978143746,0.23689298526745062,0.002147978805951336,0.6000000000000001,0.4883372155054728,0.17930755674996837,0.5021257985111336
0.6500325016250813,0.670534486368918,0.37628183811699717,0.2698284868687043,0.0024944505734639756,0.65,0.4963350603411856,0.21367417101035002,0.581870250555165
0.7000350017500876,0.6298541061105131,0.3103108032977806,0.3031099465429752,0.002861152445145286,0.7000000000000001,0.49895055678554934,0.24883037792290197,0.6508899584019234
0.7500375018750938,0.5891739366707677,0.24734417874125708,0.33638844380184224,0.003246913118346289,0.75,0.4965193176182906,0.28386502510757977,0.7069006182477676
0.8000400020001001,0.5488900024176947,0.1881981764606616,0.36934047387383223,0.0036506438800518667,0.8,0.48945579243929926,0.3178557456757862,0.7489169063483878
0.8500425021251063,0.5093616350624521,0.13354103302714934,0.4016727072720155,0.004071358314184234,0.8500000000000001,0.47823735525426014,0.34990853941617284,0.7770068868241451
0.9000450022501125,0.4709070167680772,0.08388634423760538,0.4331256118053973,0.0045081887034327875,0.9,0.4633875896654063,0.3791944758177084,0.7919928344594601
0.9500475023751188,0.43380010194909674,0.039591860443718874,0.46347594857864294,0.0049603986323218194,0.9500000000000001,0.44545942614647926,0.4049820538018904,0.7951731439742418
1.000050002500125,0.39826891007271287,0.0008633221042455923,0.4925381241106737,0.0054273913802069095,1.0,0.42501867582779607,0.4266638583165639,0.788105569374305
1.0500525026251313,0.3644951324945943,-0.03223724174690009,0.520164461528698,0.005908713785377318,1.05,0.40262852206594535,0.44377634131536486,0.7724611035493668
1.1000550027501377,0.3326149541166745,-0.05977936320001679,0.5462444593593431,0.00640405536250404,1.1,0.3788354224406729,0.45601224787454997,0.7499369192282627
1.1500575028751439,0.3027209590905715,-0.08194903778139695,0.5707031708848967,0.006913242563183642,1.1500000000000001,0.35415678812881635,0.4632256417901602,0.7222074086071782
1.20006000300015,0.27486496151795625,-0.09903145159710186,0.5934988288361343,0.007436228181005468,1.2000000000000002,0.3290706837057602,0.4654294566052824,0.6908924358921267
1.2500625031251564,0.249061590738861,-0.11139245732199662,0.6146198571546762,0.00797307601602849,1.25,0.30400776900341575,0.46278610935329956,0.6575277767013143
1.3000650032501626,0.2252924360196891,-0.11945945441250218,0.6340814584198751,0.008523941026352417,1.3,0.27934552772950494,0.4555925325758873,0.6235306073799589
1.3500675033751688,0.2035105729422001,-0.12370258440334433,0.6519219048273756,0.009089045304159991,1.35,0.25540472766324074,0.44426057132260693,0.5901599697629343
1.4000700035001752,0.1836452853038738,-0.12461676589485286,0.6681986962867775,0.00966865031779525,1.4000000000000001,0.23244801550861816,0.42929345239453526,0.5584767872486149
1.4500725036251814,0.16560682063482693,-0.1227051934805707,0.6829847017647503,0.010263025957824813,1.4500000000000002,0.2106805212860663,0.41125979587140665,0.5293098449517203
1.5000750037501875,0.14929101354404795,-0.11846462739286458,0.696364447096706,0.010872417011451987,1.5,0.19025221754608412,0.39076749904152136,0.5032336073768617
1.550077503875194,0.13458365653503324,-0.11237281498962931,0.708430603262364,0.011497007764153746,1.55,0.17126166925026887,0.36843786331468237,0.48056168900436586
1.6000800040002001,0.12136451188385729,-0.10487822308648756,0.7192807744356831,0.012136885488260973,1.6,0.15376098803775573,0.3448810584229518,0.4613571358916042
1.6500825041252063,0.10951087459552061,-0.09639208848849787,0.7290146447148876,0.012792003623945645,1.6500000000000001,0.13776159869975912,0.32067422068703655,0.44545816716602976
