r,f,g,f_s,E_k,k,V_t,V_1,V_2
1.9000950047502376,0.023478558095323558,-0.05818838070067259,0.0711433390286288,0.0005154062845471789,1.9000000000000001,0.0035007549256306225,0.019478556454608317,0.024838631616304147
1.9500975048752438,0.020701437044507654,-0.04961121716637344,0.07134857824035233,0.0005462187531781031,1.9500000000000002,0.002642491228977001,0.016675377270039513,0.02465223910095744
2.00010000500025,0.01864286292060525,-0.04151718977508259,0.07150156046763034,0.0005772769624376408,2.0,0.0019259721917277428,0.01396268902966636,0.02455932839394966
2.0501025051252566,0.01717695441536934,-0.033973284597754706,0.07161143691060062,0.0006084293552621961,2.0500000000000003,0.0013425209355968082,0.01136290782756696,0.024511067503849716
2.1001050052502626,0.016186082009079887,-0.027020017567579838,0.07168676218593832,0.0006395150699647406,2.1,0.0008828846444336735,0.008894771454435206,0.024466193630049902
2.150107505375269,0.015561296823736704,-0.0206761947992793,0.07173546307487282,0.0006703650639462355,2.15,0.0005374419706238032,0.006573712036831441,0.02439180144711533
2.2001100055002754,0.015202576173549753,-0.014943459601981212,0.07176482008483173,0.000700803397809002,2.2,0.0002963738489431267,0.004412273367850616,0.024263618769419716
2.2501125056252813,0.015018939832904912,-0.009810472983046674,0.07178145848219271,0.0007306486694592688,2.25,0.0001497977484983537,0.0024205912575321017,0.024065821651457025
2.3001150057502877,0.014928449909040806,-0.005256616635784334,0.07179134735801361,0.0007597155849733542,2.3000000000000003,8.786785931808039e-05,0.0006068279808856298,0.02379045737688024
2.350117505875294,0.014858143770969926,-0.001255144113565415,0.07179980367451119,0.0007878166503028479,2.35,0.0001008504396959875,-0.0010225049754439646,0.02343655550728131
2.4001200060003,0.014743896038337841,0.00222425092484029,0.07181150088539134,0.0008147639653618423,2.4000000000000004,0.00017918106742809137,-0.0024623343604570926,0.023009013403183048
2.4501225061253065,0.014530246741961426,0.005213453512291034,0.07183047993414687,0.000840371099725021,2.45,0.00031351084754363545,-0.0037088140932423613,0.02251734329724272
2.500125006250313,0.01417017875365439,0.0077444953766168554,0.07186016340349585,0.0008644550271179411,2.5,0.0004947377626944582,-0.004759162472440691,0.02197436359551742
2.550127506375319,0.013624888576311524,0.009848634033977309,0.07190337073153535,0.0008868380941449127,2.5500000000000003,0.0007140333558467993,-0.005611714233143816,0.021394908532068387
2.600130006500325,0.01286351494505125,0.011555859209710724,0.07196233641685942,0.0009073499973157008,2.6,0.0009628735204252337,-0.006266108144549529,0.020794618756774533
2.6501325066253316,0.011862853272078273,0.012894757193558766,0.0720387299997775,0.0009258297414344137,2.6500000000000004,0.0012330752715974391,-0.006723354472560051,0.02018886210009484
2.7001350067503376,0.010607016957265292,0.013892636181332355,0.07213368054616588,0.0009421275518305979,2.7,0.001516827641810825,-0.00698586332516046,0.01959181975544219
